,features,labels
0,[0.23104739 0.073005   0.23104739 ... 0.         0.         0.        ],Acne
1,[0.21546977 0.05429529 0.02697063 ... 0.03300703 0.14027757 0.06444538],Acne
2,[0.30708267 0.09654231 0.16184039 ... 0.13387643 0.19766853 0.1352312 ],Acne
3,[0.28563649 0.2325291  0.09746475 ... 0.08523758 0.11551925 0.02722815],Acne
4,[0.13556809 0.13100614 0.16899037 ... 0.14315942 0.05074896 0.02108197],Acne
5,[0.28967336 0.18390556 0.13273115 ... 0.19451901 0.21131999 0.23498937],Acne
6,[0.         0.         0.         ... 0.19071561 0.22959097 0.129328  ],Acne
7,[0.23560059 0.23560059 0.19526344 ... 0.0413113  0.04972098 0.09984782],Acne
8,[0.24097716 0.24097716 0.22522128 ... 0.12601922 0.15720248 0.1030816 ],Acne
9,[0.27998068 0.27998068 0.09483941 ... 0.10785977 0.12501186 0.11603485],Acne
10,[0.23330095 0.19156186 0.09566659 ... 0.         0.         0.        ],Acne
11,[0.16236457 0.26602196 0.26892764 ... 0.03156291 0.19262293 0.09893028],Acne
12,[0.2207195  0.15186713 0.1179038  ... 0.08443614 0.08900351 0.        ],Acne
13,[0.22783269 0.07164154 0.09855555 ... 0.18305265 0.12914341 0.11452309],Acne
14,[0.23122175 0.19567907 0.07398674 ... 0.20975802 0.23018613 0.08531507],Acne
15,[0.23494429 0.09571505 0.098459   ... 0.20646106 0.17868623 0.07906746],Acne
16,[0.30446173 0.0775226  0.04900616 ... 0.24205954 0.1258692  0.16803925],Acne
17,[0.23178542 0.07186832 0.04198922 ... 0.04053789 0.12917669 0.27667815],Acne
18,[0.26122552 0.14880233 0.0849085  ... 0.0388108  0.07789851 0.26452981],Acne
19,[0.30987158 0.11533544 0.19084107 ... 0.03725693 0.05890839 0.        ],Acne
20,[0.19489639 0.14976244 0.14615777 ... 0.09845523 0.13420063 0.1898484 ],Acne
21,[0.249353   0.18448212 0.16479711 ... 0.06657954 0.03221956 0.09701198],Acne
22,[0.19321874 0.16146581 0.17462846 ... 0.06160175 0.07195278 0.06617812],Acne
23,[0.15983173 0.07455993 0.24410356 ... 0.12078887 0.24498064 0.24498064],Acne
24,[0.31195996 0.17027563 0.04808313 ... 0.07609406 0.09621643 0.24133318],Acne
25,[0.27467066 0.27467066 0.19500221 ... 0.08193749 0.21837934 0.07616813],Acne
26,[0.26515161 0.04319412 0.11588205 ... 0.1928125  0.14217502 0.05891909],Acne
27,[0.28003788 0.06100502 0.04822871 ... 0.21960045 0.19514593 0.19185569],Acne
28,[0.23018341 0.22350512 0.14289114 ... 0.         0.         0.        ],Acne
29,[0.29070803 0.23559628 0.07823322 ... 0.10708462 0.12085316 0.11486431],Acne
30,[0.23993792 0.23993792 0.17538085 ... 0.06330498 0.0766207  0.05668887],Acne
31,[0.22530079 0.10012268 0.23152192 ... 0.24182728 0.12510351 0.11754671],Acne
32,[0.38327882 0.21035159 0.13303802 ... 0.10027413 0.23391231 0.23391231],Acne
33,[0.30939891 0.0993248  0.07370796 ... 0.08448324 0.12084414 0.08221472],Acne
34,[0.25633316 0.17561804 0.14012682 ... 0.07385812 0.07700332 0.04824605],Acne
35,[0.26167302 0.22791767 0.0855656  ... 0.14091955 0.23685582 0.24988618],Acne
36,[0.23380863 0.08122419 0.03178023 ... 0.06028423 0.21868508 0.15557393],Acne
37,[0.27598603 0.11787929 0.09479167 ... 0.19448601 0.14319068 0.14632317],Acne
38,[0.24006099 0.04641084 0.07927013 ... 0.03257812 0.01067738 0.10669469],Acne
39,[0.27011023 0.06415326 0.06005507 ... 0.06978822 0.03438158 0.01920996],Acne
40,[0.28916623 0.20101872 0.03723628 ... 0.1016951  0.16068577 0.16161939],Acne
41,[0.17405056 0.09906211 0.10108986 ... 0.22788821 0.05556715 0.18357196],Acne
42,[0.19492055 0.09509305 0.08388053 ... 0.23825239 0.13646059 0.09723249],Acne
43,[0.25411634 0.07913127 0.25411634 ... 0.22605753 0.22605753 0.14062738],Acne
44,[0.2556833  0.12563237 0.03311145 ... 0.03851076 0.15645067 0.18194905],Acne
45,[0.23596768 0.09176583 0.05932583 ... 0.19463978 0.23433408 0.15768805],Acne
46,[0.26778391 0.17255295 0.13290554 ... 0.17286872 0.13141063 0.20714852],Acne
47,[0.22107036 0.12559991 0.17841486 ... 0.01795238 0.03500511 0.03283973],Acne
48,[0.19653115 0.10846049 0.06088193 ... 0.0794306  0.08091014 0.13979492],Acne
49,[0.18510846 0.19457608 0.26741601 ... 0.10556255 0.25203249 0.27582756],Acne
50,[0.28143564 0.25813822 0.14988059 ... 0.15182261 0.         0.        ],Acne
51,[0.2402448  0.06697116 0.07749251 ... 0.05974768 0.05998774 0.22380252],Acne
52,[0.26487099 0.26487099 0.26487099 ... 0.02617197 0.04483003 0.34901928],Acne
53,[0.26784426 0.03398001 0.09262655 ... 0.18467044 0.08860937 0.03862691],Acne
54,[0.2471608  0.2471608  0.14038533 ... 0.15666733 0.13530565 0.13535235],Acne
55,[0.21578816 0.24557905 0.14732925 ... 0.01913694 0.         0.        ],Acne
56,[0.23323858 0.10974008 0.14071442 ... 0.12596651 0.1576914  0.13213116],Acne
57,[0.19546688 0.08003417 0.15903518 ... 0.07442173 0.13196014 0.04783945],Acne
58,[0.21957962 0.06850259 0.05501777 ... 0.08941297 0.10848542 0.25215191],Acne
